Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
Hçn Th¹ch LiÖt 	6	1	29	\spr\item\script\gc_npc_01.spr	336	2	2	Sö dông nh÷ng viªn ®¸ to c«ng ph¸ thµnh m«n ®èi ph­¬ng		10000	1	0	\script\item\toushiche.lua	0	1	1	0	0
NghiÖt Long Xung Xa	6	1	30	\spr\item\script\gc_npc_02.spr	336	2	2	Sö dông nh÷ng th©n gç to c«ng ph¸ thµnh m«n ®èi ph­¬ng		10000	1	0	\script\item\gongchengche.lua	0	1	1	0	0
V©n Kú Binh phï 	6	1	31	\spr\item\script\gc_npc_03.spr	336	2	2	Gäi thªm 1 NPC cÇm cê, phôc håi sinh lùc cho c¸c ®ång ®éi xung quanh		10000	1	0	\script\item\yaoqishibing.lua	0	1	1	0	0
Ngoan Cæ Binh phï 	6	1	32	\spr\item\script\gc_npc_04.spr	336	2	2	Gäi thªm 1 NPC ®¸nh trèng, t¨ng thªm tinh thÇn chiÕn ®Êu cho ®ång ®éi		10000	1	0	\script\item\leigushibing.lua	0	1	1	0	0
Th¸i Cùc QuyÒn Phæ. QuyÓn 3	6	1	33	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch  Vâ §ang, xem tõ tõ cã thÓ hiÓu		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Th¸i Cùc KiÕm Phæ. QuyÓn 2	6	1	34	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch kü n¨ng Vâ §ang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
V©n Long Kİch. M©u ph¸p	6	1	35	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch Thiªn NhÉn gi¸o		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
L­u Tinh. §ao ph¸p	6	1	36	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch Thiªn NhÉn, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	6	1	37	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch Thiªn V­¬ng bang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	6	1	38	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bªn trong ghi l¹i nh÷ng tuyÖt kü Truy Tinh Trôc NguyÖt 		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Thiªn V­¬ng §ao ph¸p.QuyÓn 3	6	1	39	\spr\item\questkey\obj_item_lection.spr	341	1	1	Thiªn V­¬ng Th­¬ng Ph¸p, QuyÓn 3, häc thuéc sÏ thuÇn thôc Truy phong QuyÕt		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Thóy Yªn §ao ph¸p	6	1	40	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch Thóy Yªn m«n, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Thóy Yªn Song ®ao	6	1	41	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch  song ®ao, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
DiÖt KiÕm MËt TŞch	6	1	42	\spr\item\questkey\obj_item_lection.spr	341	1	1	Nga Mi MËt TŞch, ghi l¹i nh÷ng chiªu kiÕm tuyÖt kü cña Nga Mi 		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Nga Mi  PhËt Quang Ch­ëng MËt TŞch	6	1	43	\spr\item\questkey\obj_item_lection.spr	341	1	1	Nga Mi MËt tŞch, h­íng dÉn luyÖn tËp <Phong S­¬ng To¸i ¶nh>.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
TiÒm Th©n hoµn	6	1	44	\spr\item\medecine\obj-potion15.spr	19	1	1	T¨ng thêi gian treo m¸y 1 c¸i /giê. Cã thÓ sö dông ®ång thêi 24 c¸i		6000	1	0	\script\missions\chatworld\use_autopill.lua	0	1	1	0	1
Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh	6	1	45	\spr\item\questkey\obj_item_lection.spr	341	1	1	§­êng m«n Phi §ao thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc NhiÕp hån NguyÖt ¶nh		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Phi Tiªu thuËt. Cöu Cung Phi Tinh	6	1	46	\spr\item\questkey\obj_item_lection.spr	341	1	1	§­êng m«n Phi Tiªu thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	6	1	47	\spr\item\questkey\obj_item_lection.spr	341	1	1	Ngò §éc Ch­ëng Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc ¢m Phong Thùc Cèt		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48	\spr\item\questkey\obj_item_lection.spr	341	1	1	Ngò §éc §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc HuyÒn ¢m Tr¶m		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngò §éc NhiÕp T©m thuËt. QuyÓn 3	6	1	49	\spr\item\questkey\obj_item_lection.spr	341	1	1	Ngò §éc t©m ph¸p, luyÖn tËp sÏ thuÇn thôc <§o©n C©n Hñ Cèt >		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngù Phong thuËt	6	1	50	\spr\item\questkey\obj_item_lection.spr	341	1	1	C«n L«n §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Ng¹o TuyÕt Tiªu Phong		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngù L«i thuËt	6	1	51	\spr\item\questkey\obj_item_lection.spr	341	1	1	C«n L«n KiÕm Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc L«i ®éng Cöu Thiªn 		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Ngù T©m thuËt	6	1	52	\spr\item\questkey\obj_item_lection.spr	341	1	1	C«n L«n t©m Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Tóy Tiªn T¸ Cèt		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
NhiÕp Hån. Chó thuËt	6	1	53	\spr\item\questkey\obj_item_lection.spr	341	1	1	Chiªu thøc bïa chó Cao cÊp cña Thiªn NhÉn		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
C¸i Bang Ch­ëng Ph¸p	6	1	54	\spr\item\questkey\obj_item_lection.spr	341	1	1	C¸i Bang Ch­ëng Ph¸p,luyÖn tËp sÏ thuÇn thôc <Phi Long T¹i Thiªn>		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
C¸i Bang C«n ph¸p	6	1	55	\spr\item\questkey\obj_item_lection.spr	341	1	1	C¸i Bang C«n ph¸p,luyÖn tËp sÏ thuÇn thôc <Thiªn H¹ V« CÈu>.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	6	1	56	\spr\item\questkey\obj_item_lection.spr	341	1	1	ThiÕu L©m QuyÒn Ph¸p, luyÖn tËp sÏ thuÇn thôc <§¹t Ma §é Giang>kü n¨ng.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
ThiÕu L©m C«n ph¸p. QuyÓn 2	6	1	57	\spr\item\questkey\obj_item_lection.spr	341	1	1	ThiÕu L©m C«n ph¸p, luyÖn tËp sÏ thuÇn thôc <Hoµnh T¶o Thiªn Qu©n>.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
ThiÕu L©m §ao ph¸p. QuyÓn 3	6	1	58	\spr\item\questkey\obj_item_lection.spr	341	1	1	ThiÕu L©m §ao ph¸p, luyÖn tËp sÏ thuÇn thôc <V« T­íng Tr¶m>.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
Phæ §é MËt TŞch	6	1	59	\spr\item\questkey\obj_item_lection.spr	341	1	1	Phæ §é MËt TŞch, ghi chó chiªu thøc <Phæ §é Chóng Sinh>		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
B¸nh ch­ng H¹t dÎ 	6	0	60	\spr\item\questkey\taskobj401.spr	366	1	1	Néi trong 10 phót, tèc ®é c«ng kİch t¨ng 20%		100	1	0	0	401	1	1	0	1
B¸nh ch­ng ThŞt heo	6	0	61	\spr\item\questkey\taskobj402.spr	366	1	1	Néi trong 10 phót, Sinh lùc vµ Néi lùc t¨ng100%		100	1	0	0	402	1	1	0	1
B¸nh ch­ng ThŞt bß 	6	0	62	\spr\item\questkey\taskobj403.spr	366	1	1	Néi trong 10 phót, t¨ng phßng thñ 5%		100	1	0	0	403	1	1	0	1
B¸nh ch­ng ThËp cÈm	6	1	63	\spr\item\questkey\taskobj404.spr	366	1	1	LËp tøc t¨ng 1.000 ®iÓm kinh nghiÖm		100	1	0	\script\item\shijin01.lua	0	1	1	0	1
B¸nh ch­ng ThËp cÈm MËt ong	6	1	64	\spr\item\questkey\taskobj404.spr	366	1	1	LËp tøc t¨ng 5.000 ®iÓm kinh nghiÖm		100	1	0	\script\item\shijin02.lua	0	1	1	0	1
B¸nh ch­ng ThËp cÈm B¸t böu	6	1	65	\spr\item\questkey\taskobj404.spr	366	1	1	LËp tøc t¨ng 30.000 ®iÓm kinh nghiÖm		100	1	0	\script\item\shijin03.lua	0	1	1	0	1
B¸nh ch­ng ThËp cÈm B¸ch qu¶ 	6	1	66	\spr\item\questkey\taskobj404.spr	366	1	1	LËp tøc t¨ng 100.000 ®iÓm kinh nghiÖm		100	1	0	\script\item\shijin04.lua	0	1	1	0	1
B¸nh ch­ng ThËp cÈm Th­îng h¹ng	6	1	67	\spr\item\questkey\taskobj404.spr	366	1	1	LËp tøc t¨ng 500.000 ®iÓm kinh nghiÖm		100	1	0	\script\item\shijin05.lua	0	1	1	0	1
B¸nh ch­ng ThËp cÈm KhuÊt Nguyªn	6	1	68	\spr\item\questkey\taskobj405.spr	366	1	1	T¨ng 1 cÊp (kinh nghiÖm t¨ng 200 triÖu) . Sau khi ¨n xong sÏ dŞ øng víi c¸c lo¹i B¸nh ch­ng ThËp cÈm kh¸c		100	1	0	\script\item\shijin06.lua	0	1	1	0	1
Hoµng Kim B¶o r­¬ng	6	1	69	\spr\item\script\item_goldenbox.spr	367	2	2	Bªn trong chøa 1 b¶o vËt ngÉu nhiªn 		2000	1	0	\script\item\goldenbox.lua	0	1	1	0	0
B¸nh ch­ng May m¾n 	6	0	70	\spr\item\questkey\taskobj405.spr	366	1	1	Néi nöa giê, May m¾n t¨ng 30 ®iÓm. ChØ ph¸t huy t¸c dông t¹i n¬i ®· ¨n		100	1	0	0	410	1	1	0	1
Tiªn Th¶o Lé 	6	1	71	\spr\item\medecine\xiancaolu.spr	370	1	1	Néi 1 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu) 		5	1	0	\script\item\xiancaolu.lua	0	1	1	0	1
Thiªn s¬n  B¶o Lé 	6	1	72	\spr\item\medecine\tianshanyulu.spr	370	1	1	Néi 1 giê, May m¾n t¨ng 10 ®iÓm. (t¸i sö dông v« hiÖu) 		5	1	0	\script\item\tianshanyulu.lua	0	1	1	0	1
B¸ch Qu¶ Lé 	6	1	73	\spr\item\medecine\baiguolu.spr	370	1	1	Néi 1 giê, Phßng thñ t¨ng 15 ®iÓm. (t¸i sö dông v« hiÖu) 		5	1	0	\script\item\baiguolu.lua	0	1	1	0	1
B¹ch C©u hoµn	6	1	74	\spr\item\medecine\baijuwan.spr	19	1	1	§iÓm kinh nghiÖm vÉn t¨ng trong 1 giê rêi m¹ng		5	1	0	\script\item\baijuwan.lua	0	1	1	0	1
VĞ sè 	6	1	75	\spr\obj\item\caipiao.spr	38	1	1	1 tê vĞ sè ¸ VËn héi		10	1	0	\script\item\lottery.lua	0	1	1	0	0
VĞ sè Hoµng Kim	6	1	76	\spr\obj\item\huangjincaipiao.spr	38	1	1	Cã thÓ ®æi ®­îc trang bŞ Hoµng Kim		0	1	0	\script\item\golden.lua	0	1	1	0	0
Tèng Kim Lu©n håi.QuyÓn 1	6	1	77	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tæng céng 5 quyÓn "KiÕm HiÖp truyÒn thuyÕt". NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\songjinlunhui1.lua	0	1	1	0	0
Tèng Kim Lu©n håi. QuyÓn 2	6	1	78	\spr\item\questkey\obj_item_lection02.spr	374	1	1	NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\songjinlunhui2.lua	0	1	1	0	0
Tèng Kim Lu©n håi.QuyÓn 3	6	1	79	\spr\item\questkey\obj_item_lection02.spr	374	1	1	NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\songjinlunhui3.lua	0	1	1	0	0
Tèng Kim Lu©n håi. QuyÓn 4	6	1	80	\spr\item\questkey\obj_item_lection02.spr	374	1	1	NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\songjinlunhui4.lua	0	1	1	0	0
Tèng Kim Lu©n håi. QuyÓn 5	6	1	81	\spr\item\questkey\obj_item_lection02.spr	374	1	1	NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\songjinlunhui5.lua	0	1	1	0	0
S¬ §Ò Giang Hå. QuyÓn 1	6	1	82	\spr\item\questkey\obj_item_lection02.spr	374	1	1	NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\chutijianghu1.lua	0	1	1	0	0
S¬ §Ò Giang Hå QuyÓn 2	6	1	83	\spr\item\questkey\obj_item_lection02.spr	374	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\chutijianghu2.lua	0	1	1	0	0
S¬ §Ò Giang Hå. QuyÓn 3	6	1	84	\spr\item\questkey\obj_item_lection02.spr	374	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\chutijianghu3.lua	0	1	1	0	0
S¬ §Ò Giang Hå. QuyÓn 4	6	1	85	\spr\item\questkey\obj_item_lection02.spr	374	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\chutijianghu4.lua	0	1	1	0	0
S¬ §Ò Giang Hå. QuyÓn 5	6	1	86	\spr\item\questkey\obj_item_lection02.spr	374	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\chutijianghu5.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 1	6	1	87	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin1.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 2	6	1	88	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin2.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 3	6	1	89	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin3.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 4	6	1	90	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin4.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 5	6	1	91	\spr\item\questkey\obj_item_lection01.spr	375	1	1	 T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin5.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 6	6	1	92	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin6.lua	0	1	1	0	0
Th­îng Thñ ChØ dÉn. QuyÓn 7	6	1	93	\spr\item\questkey\obj_item_lection01.spr	375	1	1	T©n thñ yÕu quyÕt, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\shangshouzhiyin7.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ.QuyÓn 1	6	1	94	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu1.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 2	6	1	95	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu2.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 3	6	1	96	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu3.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 4	6	1	97	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu4.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 5	6	1	98	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu5.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 6	6	1	99	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu6.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 7	6	1	100	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu7.lua	0	1	1	0	0
CÇm Qu¸i Phôc Ma phæ. QuyÓn 8	6	1	101	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tu LuyÖn B¶o ®iÓn, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\qinguaifumopu8.lua	0	1	1	0	0
Vâ L©m MËt lôc Thiªn V­¬ng	6	1	102	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Thiªn V­¬ng chñ tuyÕn kü n¨ng, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\wulinmilu_tianwang.lua	0	1	1	0	0
Vâ L©m MËt lôc ThiÕu L©m	6	1	103	\spr\item\questkey\obj_item_lection02.spr	374	1	1	ThiÕu L©m  chñ tuyÕn kü n¨ng, NhÊn chuét ph¶i ®Ó ®äc 		800	1	1	\script\item\wulinmilu_shaolin.lua	0	1	1	0	0
Vâ L©m MËt lôc §­êng M«n	6	1	104	\spr\item\questkey\obj_item_lection02.spr	374	1	1	§­êng M«n  chñ tuyÕn kü n¨ng, NhÊn chuét ph¶i ®Ó ®äc		800	1	1	\script\item\wulinmilu_tangmen.lua	0	1	1	0	0
