Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°
BÝch H¶i Hång Linh Kim Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	4	99999	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	88	6	31	11
BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ Hoµng Kim	0	99999	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282	11
BÝch H¶i Khiªn TÕ ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	5									129	130					11
U Lung Kim Xµ Ph¸t ®¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160	12
U Lung XÝch YÕt MËt trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	99999	10	0	30	630	630	31	90	90																36	90	32	135	39	3							2	40	225	317	6	334	12
U Lung Thanh Ng« TriÒn yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ Hoµng Kim	0	99999	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	317	6	31	12
U Lung Ng©n ThÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	4	99999	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129	130					12
U Lung MÆc Thï NhuyÔn Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	140	140	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12
Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							46	69	113	73	41	75	13
Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	99999	10	0	30	720	720	31	90	90																36	90	32	260	39	3							2	306	230	317	6	160	13
Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	99999	10	0																						36	80	39	3									129	130					13
Minh ¶o Hñ Cèt Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	317	6	31	13
Minh ¶o Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	3							2	104	335	336	6	231	13
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	99999	10	0	30	315	315	31	85	85																36	85	32	110	39	3							4	337	6	233			14
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	3	99999	10	0																						36	99	39	3									2	93	234	95	8	107	14
Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	3									129	130					14
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	111	111	31	80	80																36	90	32	90	39	3							2	309	161	317	6	31	14
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	0	99999	10	0	30	140	140	31	80	80																36	95	32	110	39	3							2	104	236	27	6	235	14
B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ Hoµng Kim	0	99999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					2	44	46	69	113	162	15
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ Hoµng Kim	4	99999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317			15
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					2	309	215	317	6	31	15
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	2									129	130					15
B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					2	104	214	338	6	213	15
Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ Hoµng Kim	0	99999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					8	43	48	71	113	162	16
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	4	99999	10	0																						36	95			39	2							2	317	212	107	8		16
Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	317	6	31	16
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	1	99999	10	0	30	135	135	31	80	80																36	85	32	75	33	90	39	2					4	339	214	317	6	216	16
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	2	99999	10	0																						36	80			39	2							129	130					16
S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ Hoµng Kim	0	99999	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					4	43	48	71	113	162	17
S©m Hoang KimTiÒn Liªn Hoµn Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	99999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317			17
S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ Hoµng Kim	3	99999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					2	309	219	317	6	31	17
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	2									129	130					17
S©m Hoang Tinh VÉn Phi Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					4	104	6	340			17
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	99999	10	0	30	315	315	31	85	85																36	85	32	110	39	2							4	341	8	307			18
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	3	99999	10	0																						36	95	39	2									1	222	221	95	8	107	18
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	99999	10	0																						36	80	39	2									129	130					18
§Þa Ph¸ch KhÊu T©m tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	2	99999	10	0	30	111	111	31	80	80																36	99	32	90	39	2							2	309	223	317	6	31	18
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	0	99999	10	0	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6		18
§ång Cõu Phi Long §Çu hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	99999	10	0	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6		19
§ång Cõu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	99999	10	0	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19
§ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ Hoµng Kim	2	99999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	309	239	321	6	31	19
§ång Cõu Kh¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	0	99999	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164	19
§ång Cõu KiÕn Long Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	4	99999	10	0																						36	80	39	6									129	130					19
§Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	2	99999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							46	69	113	73	42	164	20
