SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Hoµnh T¶o Lôc Hîp	C«ng kİch ngo¹i c«ng  	11	201	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	1	90	5	1	6	1	7	86	-1	1	1	10	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	deadlystrike_p	hengsao_liuhe	addskilldamage1	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe	addskilldamage2	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		"Vâ c«ng cao cÊp, tÊn c«ng cïng lóc nhiÒu ®èi thñ."
Kim Cang Hé ThÓ 	Hç trî phßng ngù - bŞ  ®éng	12		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_11.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	adddefense_v																																									"Vâ c«ng trung cÊp, t¨ng kh¶ n¨ng phßng ngù."
LËp §Şa Thµnh PhËt  		13		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_13.spr	\spr\skill\ÉÙÁÖ\sl_02_ÇåĞÄèóÒô.spr	\sound\skill\sound_k011.wav	0	0	0	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	188	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	badstatustimereduce_v		skill_cost_v																																							"ThiÒn ca, cã thÓ gi¶i trõ ®iÓm kinh nghiÖm ©m"
Hµng Long BÊt Vò  	C«ng kİch néi c«ng 	14	202	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	0	90	0	0	0	1	7	66	-1	1	1	11	1	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	addskilldamage1	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		"Vâ c«ng nhËp m«n, s¸t thñ th­¬ngnhiÒu ®èi thñ trong ph¹m vŞ nhÊt ®Şnh"
BÊt ®éng Minh V­¬ng 	Hç trî phßng ngù - chñ ®éng	15	200	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_22.spr	\spr\skill\ÉÙÁÖ\sl_05_²»¶¯Ã÷ÍõÖä.spr	\sound\skill\²»¶¯Ã÷ÍõÖä.wav	0	52	3	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	186	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	attackratingenhance_p	budong_mingwang	adddefense_v	budong_mingwang	skill_cost_v	budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		"ThiÒn ca, t¨ng kh¶ n¨ng chiÕn ®Êu"
La H¸n TrËn	Vßng trßn  hç trî chiÕn ®Êu	16	205	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_23.spr				45	2	1	2	0	180	0	0	0	1	7	202	-1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		C«ng thñ toµn diÖn. Ph¶n ®ßn s¸t th­¬ng rÊt hiÖu nghiÖm.
Long Tr¶o Hæ Tr¶o (##) 	C«ng kİch ngo¹i c«ng  	17		1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	0	0	90	0	0	0	1	8	218	-1	1	0	10	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	1	80	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	stun_p	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage2	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	addskilldamage1	longzhao_huzhua	addskilldamage3	longzhao_huzhua	addskilldamage4	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		"Chiªu thøc cao cÊp, tÊn c«ng ®èi ph­¬ng ®¬n lÎ "
HuÖ Nh·n chó 	Chñ ®éng hç trî c«ng kİch	18		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_32.spr	\spr\skill\ÉÙÁÖ\sl_04_»ÛÑÛÖä.spr	\sound\skill\»ÛÑÛÖä.wav	0	0	0	0	2	0	400	0	0	0	1	3	76	-1	1	1	11	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	185	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	attackratingenhance_p		skill_cost_v		deadlystrikeenhance_p																																					"ThiÒn ca, t¨ng tû lÖ c«ng kİch chİnh x¸c."
Ma Ha V« L­îng	C«ng kİch ngo¹i c«ng  	19	203	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_41.spr		\sound\skill\Ä¦Ú­ÎŞÁ¿.wav		0	0	0	0	0	200	5	2	9	1	1	61	-1	2	1	11	0	0	5	0	0	0	5	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	addskilldamage1	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdamage_p	mohe_wuliang	colddamage_v	mohe_wuliang	addskilldamage2	mohe_wuliang	addskilldamage3	mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		mohe_wuliang		"Vâ c«ng trung cÊp, hiÖu qu¶ chiÕn ®Êu cùc cao."
S­ Tö Hèng 	C«ng kİch néi c«ng 	20	200	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_42.spr	\spr\skill\ÉÙÁÖ\sl_06_Ê¨×Óºğ.spr	\sound\skill\Ê¨×Óºğ.wav	0	0	0	0	0	0	90	0	0	0	1	7	77	-1	1	1	11	1	0	2	0	0	0	54	54	0	0	1	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	stun_p	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		"ThiÒn ca, khiÕn ®èi ph­¬ng bŞ cho¸ng gi¶m kh¶ n¨ng chiÕn ®Êu."
DŞch C©n kinh	Hç trî phßng ngù - bŞ  ®éng	21	200	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_43.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	allres_p	yijin_jing	attackspeed_v	yijin_jing	castspeed_v	yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		"Chiªu thøc tèi cao, t¨ng toµn bé kh¸ng tİnh."
Kim Ba 		22		0					0	0	0	3	0	0	0	1	0	0	3	59	-1	32	1	11	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\skill.lua																																										
Thiªn V­¬ng  Th­¬ng ph¸p	Hç trî bŞ ®éng	23	104	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_qf.spr		0	0	0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_qiangfa	attackratingenhance_p	tianwang_qiangfa	deadlystrikeenhance_p	tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		T¨ng hiÖu qu¶ sö dông th­¬ng.
Thiªn V­¬ng  §ao ph¸p	Hç trî bŞ ®éng	24	105	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_df.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_daofa	attackratingenhance_p	tianwang_daofa	deadlystrikeenhance_p	tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Th¸nh V­¬ng §ao ph¸p (##) 	Hç trî bŞ ®éng	25		3	\spr\Ui\¼¼ÄÜÍ¼±ê\µ¶·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Thiªn V­¬ng  Chïy Ph¸p	Hç trî bŞ ®éng	26	106	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_cf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	4	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_chuifa	attackratingenhance_p	tianwang_chuifa	deadlystrikeenhance_p	tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		T¨ng hiÖu qu¶ sö dông chïy.
Thiªn V­¬ng  Phñ ph¸p (##) 	Hç trî bŞ ®éng	27		3	\spr\Ui\¼¼ÄÜÍ¼±ê\¹÷·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Th¸nh V­¬ng Phñ ph¸p (##) 	Hç trî bŞ ®éng	28		3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ë«´¸Ì×Â·.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Tr¶m Long quyÕt	C«ng kİch ngo¹i c«ng  	29	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_62.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	72	0	1	10	1	12	405	-1	1	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	4	1	60	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue		zhanlong_jue	deadlystrike_p	zhanlong_jue	addskilldamage1	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	skill_cost_v	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	addskilldamage2	zhanlong_jue	addskilldamage3	zhanlong_jue	addskilldamage4	zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		"Chïy ph¸p nhËp m«n, khiÕn ®èi ph­¬ng rÊt khã xoay së."
Håi Phong L¹c Nh¹n	C«ng kİch ngo¹i c«ng  	30	101	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_61.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	90	0	1	10	1	12	219	-1	2	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	3	1	60	0	10		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	addskilldamage1	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan	addskilldamage2	huifeng_luoyan	addskilldamage3	huifeng_luoyan	addskilldamage4	huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		"Th­¬ng ph¸p nhËp m«n, mét lÇn xuÊt liªn tôc 2 chiªu."
Hµng V©n QuyÕt	C«ng kİch néi c«ng 	31	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	0	72	0	1	8	1	12	406	-1	1	0	9	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	4	1	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue		xingyun_jue	deadlystrike_p	xingyun_jue	addskilldamage1	xingyun_jue	missle_speed_v	xingyun_jue	skill_attackradius	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdamage_p	xingyun_jue	ignoredefense_p	xingyun_jue	addskilldamage2	xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		"Chïy Ph¸ptrung cÊp, khiÕn ®èi ph­¬ng rÊt khã xoay së.."
